abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
1;60;2;0;2;0;2;0;2;0;2;0;101500056010270403;1015000560102704103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500056010270503;1015000560102705103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500056010270603;1015000560102706103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500056010270703;1015000560102707103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250101;1015000570102501101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250201;1015000570102502101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250301;1015000570102503101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250401;1015000570102504101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250501;1015000570102505101;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500057010250601;1015000570102506101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500057010250701;1015000570102507101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500062020370101;1015000620203701101;10150
1;20;1;5;2;0;2;0;2;0;2;0;101500062020370201;1015000620203702101;10150
2;0;2;0;2;0;1;120;2;0;2;0;101500062020370301;1015000620203703101;10150
2;0;2;0;2;0;2;0;2;0;1;30;101500062020370401;1015000620203704101;10150
1;140;2;0;2;0;2;0;2;0;2;0;101500062020370601;1015000620203706101;10150
2;0;2;0;2;0;1;50;2;0;2;0;101500062020370701;1015000620203707101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500062020370801;1015000620203708101;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500063030260102;1015000630302601102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500063030260202;1015000630302602102;10150
1;15;2;0;2;0;2;0;2;0;2;0;101500063030260302;1015000630302603102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500063030260402;1015000630302604102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500063030260502;1015000630302605102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500063030260702;1015000630302607102;10150
1;23;2;0;2;0;2;0;2;0;2;0;101500063030260802;1015000630302608102;10150
1;120;2;0;2;0;2;0;2;0;2;0;101500065040420103;1015000650404201103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500065040420203;1015000650404202103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500065040420303;1015000650404203103;10150
1;150;2;0;2;0;2;0;2;0;2;0;101500065040420403;1015000650404204103;10150
1;90;2;0;2;0;2;0;2;0;2;0;101500065040420503;1015000650404205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500065040420603;1015000650404206103;10150
1;70;2;0;2;0;2;0;2;0;2;0;101500065040420803;1015000650404208103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020420203;1015000660204202103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020420303;1015000660204203103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020420503;1015000660204205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020420603;1015000660204206103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020420803;1015000660204208103;10150
2;0;2;0;2;0;2;0;2;0;1;70;101500066020420903;1015000660204209103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500066020421003;1015000660204210103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075010250101;1015000750102501101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075010250201;1015000750102502101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075010250301;1015000750102503101;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500075010250501;1015000750102505101;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500075010250601;1015000750102506101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075010250701;1015000750102507101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500075010250801;1015000750102508101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075020420103;1015000750204201103;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500075020420203;1015000750204202103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075020420303;1015000750204203103;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500075020420403;1015000750204204103;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500075020420503;1015000750204205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075020420603;1015000750204206103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500075020420703;1015000750204207103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500077030260102;1015000770302601102;10150
1;100;2;0;2;0;2;0;2;0;2;0;101500077030260202;1015000770302602102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500077030260302;1015000770302603102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500077030260402;1015000770302604102;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500077030260502;1015000770302605102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500077030260602;1015000770302606102;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500077030260702;1015000770302607102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500088010420103;1015000880104201103;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500088010420203;1015000880104202103;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500088010420503;1015000880104205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500088010420603;1015000880104206103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500088010420703;1015000880104207103;10150
2;0;2;0;2;0;2;0;1;100;2;0;101500088010420803;1015000880104208103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500088010421003;1015000880104210103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500093030280101;1015000930302801101;10150
2;0;2;0;2;0;1;40;2;0;2;0;101500093030280201;1015000930302802101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500093030280301;1015000930302803101;10150
2;0;2;0;2;0;2;0;2;0;1;40;101500093030280401;1015000930302804101;10150
2;0;2;0;2;0;1;30;2;0;2;0;101500093030280501;1015000930302805101;10150
1;10;2;0;2;0;2;0;2;0;2;0;101500093030280601;1015000930302806101;10150
1;40;2;0;2;0;2;0;2;0;1;30;101500093030280701;1015000930302807101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500102040260102;1015001020402601102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500102040260202;1015001020402602102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500102040260302;1015001020402603102;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500102040260402;1015001020402604102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500102040260502;1015001020402605102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500102040260602;1015001020402606102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500102040260702;1015001020402607102;10150
